objid,RA,DEC,Z,nQ,PROB
G09_Y1_HS1_180,138.79008,-0.38159,0.30807,3.0,0.9610000252723694
G09_Y1_HS2_136,138.75475,-0.84795,0.28298,3.0,0.9509999752044678
G09_Y1_HS2_259,138.59262,0.30419,0.06957,3.0,0.9539999961853027
G09_Y1_IN1_005,140.96396,1.20256,0.2011,3.0,0.9470000267028809
G09_Y1_IN1_047,140.75621,0.84809,0.23791,3.0,0.9449999928474426
G09_Y1_IN1_090,140.46958,0.47685,0.25781,3.0,0.9739999771118164
G09_Y1_IN1_151,139.77429,0.66389,0.29152,3.0,0.9570000171661377
G09_Y1_IN1_246,139.94375,1.68799,0.2256,3.0,0.9459999799728394
G09_Y1_IN1_259,139.97054,1.73816,0.1395,3.0,0.953000009059906
G09_Y1_IN1_395,140.93563,1.29871,0.38466,3.0,0.9660000205039978
G09_Y1_IN2_108,140.21658,0.73477,0.15819,3.0,0.953000009059906
G09_Y1_IS2_023,140.63604,-0.631,0.18236,3.0,0.9750000238418579
G09_Y1_IS2_079,140.7205,-0.96161,0.13918,3.0,0.9649999737739563
G09_Y1_IS2_222,140.21325,-0.44797,0.32543,3.0,0.9139999747276306
G09_Y1_IS2_266,140.30992,-0.21238,0.31548,3.0,0.9160000085830688
G09_Y1_test_083,129.85479,0.68659,0.14504,3.0,0.9549999833106995
G09_Y2_003_016,130.57208,-0.18134,0.00107,3.0,0.9629999995231628
G09_Y2_003_148,130.2555,-0.14919,0.43682,3.0,0.0
G09_Y2_003_223,129.36763,0.2549,0.27092,3.0,0.9760000109672546
G09_Y2_003_341,130.85813,0.63862,0.11538,3.0,0.9779999852180481
G09_Y2_003_360,130.80163,0.25776,0.2628,3.0,0.9769999980926514
G09_Y2_005_307,131.98658,1.74874,3.0E-4,3.0,0.9779999852180481
G09_Y2_006_105,139.05975,-0.76097,0.00123,3.0,0.9639999866485596
G09_Y2_006_134,138.74646,-0.7086,0.44343,3.0,0.968999981880188
G09_Y2_006_137,138.85158,-0.49086,0.36068,3.0,0.9449999928474426
G09_Y2_006_151,138.72075,-0.48191,0.07041,3.0,0.9369999766349792
G09_Y2_008_028,140.93983,2.2862,0.34577,3.0,0.9100000262260437
G09_Y2_008_141,140.09571,2.3343,0.28128,3.0,0.9110000133514404
G09_Y2_008_155,139.60683,2.01369,0.08681,3.0,0.9129999876022339
G09_Y2_008_266,140.13958,2.6538,0.31971,3.0,0.9300000071525574
G09_Y2_009_066,130.28537,0.39779,0.26847,3.0,0.9359999895095825
G09_Y2_009_093,129.86087,0.7117,0.14224,3.0,0.9490000009536743
G09_Y2_009_116,129.67429,0.70152,0.16408,3.0,0.9760000109672546
G09_Y2_009_330,130.02571,1.64067,0.41058,3.0,0.9390000104904175
G09_Y2_009_362,130.05975,1.38824,0.14818,3.0,0.9559999704360962
G09_Y2_009_381,130.08129,1.27634,0.30045,3.0,0.9629999995231628
G09_Y2_009_384,130.24217,1.32088,0.14395,3.0,0.9459999799728394
G09_Y2_009_397,130.15796,1.21082,0.11127,3.0,0.9449999928474426
G09_Y2_010_034,136.83633,0.50944,0.22214,3.0,0.9580000042915344
G09_Y2_011_038,130.4105,0.80105,0.22317,3.0,0.9340000152587891
G09_Y2_011_048,129.89696,1.10774,0.15513,3.0,0.9660000205039978
G09_Y2_011_087,129.86254,0.89784,0.20226,3.0,0.9610000252723694
G09_Y2_011_154,129.35783,0.7811,0.33121,3.0,0.9610000252723694
G09_Y2_011_155,129.09321,0.60094,7.2E-4,3.0,0.9570000171661377
G09_Y2_011_239,129.31529,1.53431,0.35239,3.0,0.9660000205039978
G09_Y2_011_244,129.07725,1.8116,0.23835,3.0,0.902999997138977
G09_Y2_011_301,129.82337,2.05779,0.43292,3.0,0.9559999704360962
G09_Y2_011_318,129.88713,1.53286,0.54039,3.0,0.949999988079071
G09_Y2_011_357,129.94321,1.31321,0.41509,3.0,0.9589999914169312
G09_Y2_012_029,134.54962,0.6998,0.32975,3.0,0.921999990940094
G09_Y2_012_086,133.92625,0.13702,0.40227,3.0,0.9480000138282776
G09_Y2_012_125,133.65025,0.94309,0.10508,3.0,0.953000009059906
G09_Y2_012_158,133.25667,0.74863,0.19563,3.0,0.9620000123977661
G09_Y2_012_207,133.0115,1.17843,0.32226,3.0,0.9649999737739563
G09_Y2_012_253,133.37996,1.42173,4.2E-4,3.0,0.9660000205039978
G09_Y2_012_313,133.84558,1.85427,0.34629,3.0,0.9190000295639038
G09_Y2_012_399,134.40167,1.11403,0.38891,3.0,0.9300000071525574
G09_Y2_013_245,134.72675,-0.18903,3.2E-4,3.0,0.9300000071525574
G09_Y2_013_280,134.88017,0.14773,0.15678,3.0,0.9200000166893005
G09_Y2_014_052,132.08087,-0.84813,0.43736,3.0,0.9750000238418579
G09_Y2_014_184,131.26192,-0.71436,0.41387,3.0,0.0
G09_Y2_014_253,131.53504,-0.41746,0.47502,3.0,0.9290000200271606
G09_Y2_014_324,132.0245,0.19978,0.03937,3.0,0.949999988079071
G09_Y2_015_018,139.48542,1.95549,0.19812,3.0,0.9779999852180481
G09_Y2_015_070,138.80521,1.70158,0.25096,3.0,0.9649999737739563
G09_Y2_015_199,138.38917,2.17956,0.772,3.0,0.9509999752044678
G09_Y2_015_297,138.55283,2.96838,0.15518,3.0,0.9660000205039978
G09_Y2_016_158,139.95942,-0.19224,0.35006,3.0,0.9710000157356262
G09_Y2_016_355,140.88479,0.62379,0.07068,3.0,0.9610000252723694
G09_Y2_017_027,131.70258,0.82707,0.33673,3.0,0.9710000157356262
G09_Y2_017_160,130.25921,0.73813,0.15516,3.0,0.9649999737739563
G09_Y2_017_284,130.68896,2.03063,0.9057,3.0,0.0
G09_Y2_019_014,130.1455,-0.74118,0.41553,3.0,0.9769999980926514
G09_Y2_019_032,129.89792,-0.76682,0.35257,3.0,0.0
G09_Y2_019_086,129.50575,-0.88631,0.37575,3.0,0.0
G09_Y2_020_014,129.91671,2.43203,3.0E-4,3.0,0.968999981880188
G09_Y2_020_155,129.28329,2.18319,1.2E-4,3.0,0.9350000023841858
G09_Y2_026_017,132.0155,2.10349,4.0E-4,3.0,0.9559999704360962
G09_Y2_026_118,131.27342,1.77013,0.208,3.0,0.9100000262260437
G09_Y2_026_156,130.92288,1.85027,0.28953,3.0,0.9319999814033508
G09_Y2_027_047,135.158,-0.59044,0.40655,3.0,0.9580000042915344
G09_Y2_027_189,133.63646,-0.16028,0.2034,3.0,0.9160000085830688
G09_Y2_028_162,139.39342,1.02218,0.16563,3.0,0.9150000214576721
G09_Y2_028_195,139.54454,1.46487,0.32567,3.0,0.9599999785423279
G09_Y2_029_154,129.53075,0.39415,0.11367,3.0,0.9779999852180481
G09_Y2_029_357,130.68388,1.34308,0.07654,3.0,0.9580000042915344
G09_Y2_029_379,130.62354,1.00085,0.85696,3.0,0.0
G09_Y2_030_047,140.53721,-0.85065,0.18112,3.0,0.9710000157356262
G09_Y2_030_129,139.89829,-0.57268,0.15787,3.0,0.925000011920929
G09_Y2_031_142,138.07738,1.95512,0.31382,3.0,0.9490000009536743
G09_Y2_031_176,137.96242,2.34984,0.281,3.0,0.968999981880188
G09_Y2_031_384,139.38854,2.82291,0.38626,3.0,0.9670000076293945
G09_Y2_033_332,136.3715,0.16332,0.07057,3.0,0.9309999942779541
G09_Y2_034_134,134.58208,1.06443,0.07327,3.0,0.9240000247955322
G09_Y2_035_364,139.22067,0.52013,6.1E-4,3.0,0.9440000057220459
G09_Y2_036_118,130.87871,0.59663,0.2648,3.0,0.9670000076293945
G09_Y2_036_181,130.40367,0.8676,0.07941,3.0,0.9470000267028809
G09_Y2_036_285,131.05433,1.61314,4.8E-4,3.0,0.9789999723434448
G09_Y2_036_341,131.66863,1.88524,0.41866,3.0,0.9380000233650208
G09_Y2_037_023,138.21367,1.15352,0.50421,3.0,0.9800000190734863
G09_Y2_037_348,137.53729,1.76712,0.10026,3.0,0.9639999866485596
G09_Y2_038_118,133.50308,-0.90873,0.38872,3.0,0.9739999771118164
G09_Y2_038_153,133.073,-0.80197,0.55451,3.0,0.9150000214576721
G09_Y2_038_364,134.09854,0.10794,0.37521,3.0,0.9789999723434448
G09_Y2_039_008,134.10479,2.23044,0.12498,3.0,0.9789999723434448
G09_Y2_039_054,133.40358,2.29801,0.46823,3.0,0.9430000185966492
G09_Y2_039_279,133.14287,2.98049,2.9E-4,3.0,0.9660000205039978
G09_Y2_039_357,133.98596,2.73862,0.43814,3.0,0.9330000281333923
